FID,StationID,Bight,Latitude,Longitude
0,1001,1994,33.985333330000003,-118.607666700000000
1,1003,1994,33.984000000000002,-118.569000000000000
2,1005,1994,33.982500000000002,-118.537333300000000
3,1014,1994,33.974166670000002,-118.558833300000000
4,1019,1994,33.970666670000000,-118.480000000000000
5,1025,1994,33.968333330000000,-118.476000000000000
6,1026,1994,33.966999999999999,-118.496500000000000
7,1027,1994,33.948666670000001,-118.513833300000000
8,1028,1994,33.965833330000002,-118.588166700000000
9,103,1994,34.420549999999999,-120.183883300000010
10,1034,1994,33.959666669999997,-118.641666700000000
11,1040,1994,33.951666670000002,-118.550500000000000
12,1042,1994,33.949666669999999,-118.479666700000000
13,1045,1994,33.948000000000000,-118.538333300000010
14,1046,1994,33.947666669999997,-118.460166700000000
15,1049,1994,33.943833329999997,-118.536833300000000
16,1052,1994,33.939500000000002,-118.607166699999990
17,1056,1994,33.932166670000001,-118.567333300000000
18,1059,1994,33.931166670000003,-118.589833300000000
19,1065,1994,33.923166670000001,-118.502666700000010
20,1067,1994,33.922833330000003,-118.554166700000000
21,1072,1994,33.916499999999999,-118.546499999999990
22,1074,1994,33.911499999999997,-118.581500000000010
23,1078,1994,33.909333330000003,-118.602999999999990
24,1081,1994,33.904666669999997,-118.440666699999990
25,1085,1994,33.901499999999999,-118.478833300000010
26,1090,1994,33.897166669999997,-118.441999999999990
27,1091,1994,33.896166669999999,-118.541500000000000
28,1096,1994,33.893833330000000,-118.519166700000000
29,1100,1994,33.887166700000002,-118.454166700000000
30,1103,1994,33.885833329999997,-118.552666700000000
31,1106,1994,33.883000000000003,-118.614333300000000
32,1108,1994,33.882833329999997,-118.497166699999990
33,1109,1994,33.882500000000000,-118.517333300000000
34,1110,1994,33.879833329999997,-118.569333300000000
35,1118,1994,33.874666670000003,-118.614333300000000
36,1119,1994,33.872166669999999,-118.463666700000000
37,112,1994,34.417766669999999,-120.076483300000010
38,1120,1994,33.871333329999999,-118.625333299999990
39,1121,1994,33.871000000000002,-118.491333299999990
40,1122,1994,33.870666669999999,-118.480999999999990
41,1123,1994,33.870950000000001,-118.418700000000000
42,1126,1994,33.867166670000003,-118.485833300000000
43,1128,1994,33.864666669999998,-118.558333300000000
44,1131,1994,33.862000000000002,-118.611333300000000
45,1142,1994,33.852300000000000,-118.461116700000010
46,1146,1994,33.851166669999998,-118.552833300000000
47,1148,1994,33.850333329999998,-118.517333300000000
48,115,1994,34.416383330000002,-120.336783299999990
49,1150,1994,33.847666670000002,-118.551500000000000
50,1152,1994,33.844499999999996,-118.587500000000010
51,1159,1994,33.836866669999999,-118.437583300000000
52,1162,1994,33.834616670000003,-118.525116700000000
53,1168,1994,33.832949999999997,-118.487716699999990
54,1169,1994,33.830050000000000,-118.508799999999990
55,1170,1994,33.829749999999997,-118.449166700000010
56,1173,1994,33.825800000000001,-118.416216700000010
57,1175,1994,33.820666670000001,-118.549366699999990
58,1187,1994,33.789166670000000,-118.445216700000000
59,1191,1994,33.784666670000000,-118.492583300000010
60,1195,1994,33.772083330000001,-118.471366700000000
61,1208,1994,33.734050000000003,-118.145133300000000
62,1214,1994,33.727583330000002,-118.414199999999990
63,122,1994,34.414716669999997,-120.414416700000000
64,1222,1994,33.722033330000002,-118.207333300000000
65,1223,1994,33.722549999999998,-118.121250000000000
66,1224,1994,33.721583330000001,-118.131249999999990
67,1227,1994,33.717833329999998,-118.160283300000000
68,1232,1994,33.714133330000003,-118.347500000000000
69,1236,1994,33.710533329999997,-118.244966700000010
70,1256,1994,33.698116669999997,-118.186133299999990
71,1267,1994,33.689133329999997,-118.300550000000000
72,1272,1994,33.686866670000001,-118.090650000000000
73,1287,1994,33.677833300000003,-118.066999999999990
74,1300,1994,33.666400000000003,-118.108616700000000
75,1306,1994,33.664999999999999,-118.045933300000000
76,1312,1994,33.659783330000003,-118.131133300000000
77,1321,1994,33.653216669999999,-118.101966700000010
78,1328,1994,33.648499999999999,-118.117000000000000
79,1332,1994,33.644916670000001,-118.145283300000000
80,1340,1994,33.640916670000003,-118.238833300000000
81,1348,1994,33.635533330000001,-118.015216700000000
82,1355,1994,33.632216669999998,-118.086350000000000
83,136,1994,34.409849999999999,-119.949116700000000
84,1378,1994,33.615083329999997,-117.974350000000000
85,1399,1994,33.606583329999999,-117.957633300000000
86,1401,1994,33.605033329999998,-117.971450000000000
87,1406,1994,33.603400000000001,-118.050216699999990
88,1415,1994,33.598700000000001,-118.016383300000000
89,1417,1994,33.598083330000001,-117.969470000000000
90,1418,1994,33.597066669999997,-118.109766699999990
91,1424,1994,33.594749999999998,-117.922216700000010
92,1426,1994,33.593699999999998,-118.052466700000000
93,1444,1994,33.584916669999998,-117.931500000000000
94,1450,1994,33.580116670000002,-118.068466700000000
95,1455,1994,33.577083330000001,-118.030250000000000
96,1468,1994,33.572283329999998,-117.964116700000010
97,1469,1994,33.571800000000003,-118.048966699999990
98,150,1994,34.405883330000002,-120.408850000000000
99,1550,1994,33.357199999999999,-117.582066700000000
100,1551,1994,33.355550000000001,-117.650283300000000
101,1560,1994,33.338166670000000,-117.619283300000010
102,1570,1994,33.322633330000002,-117.588716700000010
103,1571,1994,33.320599999999999,-117.626883300000000
104,1572,1994,33.318666669999999,-117.555283300000000
105,1574,1994,33.317966669999997,-117.612650000000000
106,1585,1994,33.298949999999998,-117.580483300000000
107,1595,1994,33.285600000000002,-117.569750000000000
108,16,1994,34.452700000000000,-120.028150000000000
109,161,1994,34.403833329999998,-119.781150000000000
110,1617,1994,33.252833330000001,-117.468233299999990
111,1634,1994,33.213183330000000,-117.425233300000000
112,1635,1994,33.213016670000002,-117.418816699999990
113,1650,1994,33.182316669999999,-117.400566700000000
114,1654,1994,33.179299999999998,-117.398533300000000
